# Assembly	Family	Scientific Name
GCA_963573345	Cebidae	Saimiri sciureus
GCA_963573355	Cercopithecidae	Trachypithecus hatinhensis
GCA_963573365	Cercopithecinae	Cercocebus atys lunulatus
GCA_963573375	Cercopithecinae	Papio papio
GCA_963573395	Cebidae	Saimiri cassiquiarensis
GCA_963573405	Cercopithecidae	Papio kindae
GCA_963573415	Pitheciidae	Plecturocebus cinerascens
GCA_963573425	Cercopithecidae	Cacajao ayresi
GCA_963573435	Cercopithecidae	Eulemur albifrons
GCA_963573445	Cercopithecidae	Miopithecus ogouensis
GCA_963573455	Cercopithecidae	Trachypithecus germaini
GCA_963573465	Aotidae	Aotus azarai
GCA_963573475	Aotidae	Trachypithecus poliocephalus
GCA_963573485	Aotidae	Macaca nigra
GCA_963573495	Pitheciidae	Callithrix kuhlii
GCA_963573515	Pitheciidae	Callithrix geoffroyi
GCA_963573525	Cercopithecidae	Avahi peyrierasi
GCA_963573535	Lemuridae	Trachypithecus phayrei
GCA_963573545	Callitrichidae	Trachypithecus geei
GCA_963573565	Pitheciidae	Mico argentatus
GCA_963573575	Callitrichidae	Macaca arctoides
GCA_963573585	Callitrichidae	Trachypithecus laotum
GCA_963573605	Pitheciidae	Ateles belzebuth
GCA_963573625	Callitrichidae	Macaca tonkeana
GCA_963573635	Pitheciidae	Macaca fuscata fuscata
GCA_963573645	Callitrichidae	Pithecia hirsuta
GCA_963573655	Callitrichidae	Leontocebus fuscicollis
GCA_963573665	Cercopithecidae	Semnopithecus hypoleucos
GCA_963573675	Pitheciidae	Varecia rubra
GCA_963573685	Pitheciidae	Mirza zaza
GCA_963573695	Cercopithecidae	Pithecia albicans
GCA_963573705	Cercopithecidae	Eulemur sanfordi
GCA_963573715	Hylobatidae	Nomascus siki
GCA_963573725	Cercopithecidae	Eulemur fulvus
GCA_963573735	Cercopithecidae	Macaca radiata
GCA_963573745	Cercopithecidae	Hylobates muelleri
GCA_963573755	Cercopithecidae	Cheracebus lucifer
GCA_963573765	Cercopithecidae	Alouatta seniculus
GCA_963573775	Aotidae	Aotus vociferans
GCA_963573785	Lepilemuridae	Lepilemur ankaranensis
GCA_963573795	Cercopithecidae	Cacajao hosomi
GCA_963573805	Cercopithecidae	Trachypithecus pileatus
GCA_963573815	Lemuridae	Rhinopithecus bieti
GCA_963573825	Pitheciidae	Macaca leonina
GCA_963573835	Cercopithecidae	Hapalemur griseus
GCA_963573845	Cercopithecidae	Mico argentatus
GCA_963573855	Lemuridae	Lepilemur septentrionalis
GCA_963573865	Lemuridae	Macaca cyclopis
GCA_963573905	Pitheciidae	Presbytis comata
GCA_963573915	Pitheciidae	Semnopithecus entellus
GCA_963573925	Cercopithecidae	Callimico goeldii
GCA_963573935	Cercopithecidae	Arctocebus calabarensis
GCA_963573945	Lemuridae	Alouatta macconnelli
GCA_963573955	Pitheciidae	Cacajao calvus
GCA_963573975	Atelidae	Alouatta palliata
GCA_963573985	Pitheciidae	Ateles paniscus
GCA_963573995	Cheirogaleidae	Nycticebus coucang
GCA_963574005	Pitheciidae	Pithecia vanzolinii
GCA_963574015	Lemuridae	Saimiri ustus
GCA_963574025	Lemuridae	Macaca thibetana
GCA_963574045	Callitrichidae	Trachypithecus cristatus
GCA_963574055	Lemuridae	Pygathrix nigripes
GCA_963574065	Cheirogaleidae	Cercocebus chrysogaster
GCA_963574075	Cheirogaleidae	Trachypithecus obscurus
GCA_963574085	Pitheciidae	Pygathrix cinerea
GCA_963574095	Pitheciidae	Hylobates agilis
GCA_963574105	Callitrichidae	Plecturocebus moloch
GCA_963574115	Callitrichidae	Cercopithecus ascanius
GCA_963574125	Pitheciidae	Trachypithecus phayrei crepuscula
GCA_963574135	Pitheciidae	Cercocebus torquatus
GCA_963574145	Lorisidae	Alouatta belzebul
GCA_963574155	Lorisidae	Trachypithecus auratus
GCA_963574165	Cercopithecidae	Saguinus bicolor
GCA_963574175	Hylobatidae	Chiropotes chiropotes sagulata
GCA_963574185	Pitheciidae	Trachypithecus johnii
GCA_963574195	Pitheciidae	Saimiri oerstedii
GCA_963574205	Callitrichidae	Ateles geoffroyi
GCA_963574215	Cercopithecidae	Saguinus geoffroyi
GCA_963574225	Cercopithecidae	Lagothrix lagotricha
GCA_963574235	Cercopithecidae	Alouatta seniculus puruensis
GCA_963574245	Atelidae	Allenopithecus nigroviridis
GCA_963574255	Callitrichidae	Cebus unicolor
GCA_963574265	Cercopithecidae	Piliocolobus badius
GCA_963574275	Cercopithecidae	Macaca siberu
GCA_963574285	Cercopithecidae	Piliocolobus gordonorum
GCA_963574295	Callitrichidae	Semnopithecus priam
GCA_963574315	Cercopithecidae	Propithecus tattersalli
GCA_963574325	Cercopithecidae	Allochrocebus lhoesti
GCA_963574335	Cheirogaleidae	Hylobates klossii
GCA_963574345	Callitrichidae	Saguinus mystax
GCA_963574355	Pitheciidae	Loris lydekkerianus
GCA_963574365	Pitheciidae	Alouatta juara
GCA_963574375	Cercopithecidae	Macaca fascicularis
GCA_963574385	Callitrichidae	Semnopithecus schistaceus
GCA_963574395	Cercopithecidae	Leontopithecus chrysomelas
GCA_963574405	Cercopithecidae	Tarsius lariang
GCA_963574415	Cercopithecidae	Tarsius wallacei
GCA_963574425	Cercopithecidae	Cheirogaleus medius
GCA_963574435	Lorisidae	Cheirogaleus major
GCA_963574445	Lorisidae	Leontopithecus rosalia
GCA_963574455	Callitrichidae	Saguinus bicolor
GCA_963574465	Cheirogaleidae	Eulemur rufus
GCA_963574475	Pitheciidae	Eulemur mongoz
GCA_963574485	Pitheciidae	Hapalemur griseus alaotrensis
GCA_963574495	Pitheciidae	Cephalopachus bancanus
GCA_963574505	Cercopithecidae	Aotus griseimembra
GCA_963574515	Pitheciidae	Papio ursinus
GCA_963574535	Pitheciidae	Cheracebus lugens
GCA_963574545	Cercopithecidae	Mico humilis
GCA_963574555	Cercopithecidae	Nomascus gabriellae
GCA_963574565	Pitheciidae	Plecturocebus cupreus
GCA_963574575	Pitheciidae	Galagoides demidoff
GCA_963574585	Cercopithecidae	Otolemur crassicaudatus
GCA_963574615	Cercopithecidae	Cercopithecus campbelli lowei
GCA_963574625	Cercopithecidae	Plecturocebus grovesi
GCA_963574635	Cercopithecidae	Cheracebus regulus
GCA_963574645	Cercopithecidae	Cheracebus torquatus
GCA_963574655	Cercopithecidae	Perodicticus potto
GCA_963574665	Cercopithecidae	Propithecus deckenii coronatus
GCA_963574675	Cercopithecidae	Perodicticus potto ibeanus
GCA_963574685	Cercopithecidae	Cercopithecus neglectus
GCA_963574695	Cercopithecidae	Propithecus perrieri
GCA_963574715	Cercopithecidae	Papio cynocephalus
GCA_963574725	Cercopithecidae	Colobus polykomos
GCA_963574735	Pitheciidae	Saguinus inustus
GCA_963574745	Pitheciidae	Cebus olivaceus
GCA_963574755	Lemuridae	Sapajus apella macrocephalus
GCA_963574765	Lemuridae	Cercopithecus diana
GCA_963574775	Callitrichidae	Trachypithecus francoisi
GCA_963574785	Pitheciidae	Aotus trivirgatus
GCA_963574805	Lemuridae	Piliocolobus kirkii
GCA_963574815	Lemuridae	Cercopithecus hamlyni
GCA_963574835	Cercopithecidae	Nasalis larvatus
GCA_963574845	Pitheciidae	Nomascus concolor
GCA_963574855	Lemuridae	Macaca maura
GCA_963574865	Lemuridae	Hylobates muelleri abbotti
GCA_963574875	Lemuridae	Lepilemur dorsalis
GCA_963574885	Lemuridae	Lepilemur ruficaudatus
GCA_963574895	Lemuridae	Eulemur rubriventer
GCA_963574905	Lemuridae	Pithecia chrysocephala
GCA_963574915	Lemuridae	Saguinus oedipus
GCA_963574925	Lemuridae	Allochrocebus preussi
GCA_963574945	Cercopithecidae	Eulemur macaco
GCA_963574955	Cercopithecidae	Saguinus imperator
GCA_963574965	Cercopithecidae	Eulemur coronatus
GCA_963574975	Cercopithecidae	Pithecia mittermeieri
GCA_963574985	Cercopithecidae	Trachypithecus vetulus
GCA_963574995	Lemuridae	Eulemur flavifrons
GCA_963575005	Lemuridae	Saguinus labiatus
GCA_963575015	Lemuridae	Eulemur fulvus collaris
GCA_963575025	Lemuridae	Cebuella niveiventris
GCA_963575035	Lemuridae	Avahi laniger
GCA_963575045	Lemuridae	Cercopithecus nictitans
GCA_963575055	Lemuridae	Cercopithecus pogonias
GCA_963575065	Lemuridae	Cercopithecus petaurista
GCA_963575075	Lemuridae	Propithecus diadema
GCA_963575085	Lemuridae	Propithecus edwardsi
GCA_963575095	Lemuridae	Alouatta belzebul
GCA_963575105	Lemuridae	Cebuella pygmaea
GCA_963575115	Lemuridae	Chlorocebus pygerythrus
GCA_963575125	Lemuridae	Propithecus verreauxi
GCA_963575135	Lemuridae	Indri indri
GCA_963575145	Lemuridae	Galago senegalensis
GCA_963575155	Lemuridae	Hapalemur occidentalis
GCA_963575165	Lemuridae	Hapalemur griseus
GCA_963575175	Lemuridae	Hapalemur meridionalis
GCA_963575185	Lemuridae	Gorilla beringei
GCA_963575195	Lemuridae	Allochrocebus solatus
GCA_963575205	Lemuridae	Alouatta discolor
